   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP   NVIDIA GPU     VID   POWER
2026-07-16  22:58:29  47.44   17.6  100.0       0   98    1605    57   1.4531   66.8
2026-07-16  22:58:30  44.79   18.1  100.0       0   96    1605    57   1.3010   68.0   TEMP
2026-07-16  22:58:31  47.03   19.0  100.0       0   96    1605    57   1.4290   57.6
2026-07-16  22:58:32  49.15   19.3  100.0       0   97    1605    57   1.4711   70.9
2026-07-16  22:58:33  46.49   15.6  100.0       0   96    1605    57   1.4347   64.1
2026-07-16  22:58:34  50.00   10.5  100.0       0   87    1605    57   1.4333   65.1
2026-07-16  22:58:35  47.92   11.0  100.0       0   87    1605    57   1.4050   40.2
2026-07-16  22:58:36  48.89    8.9  100.0       0   95    1605    56   1.4266   50.7
2026-07-16  22:58:37  45.64    6.2  100.0       0   77    1605    56   1.4293   37.9
2026-07-16  22:58:38  50.17    6.8  100.0       0   96    1605    56   1.4271   44.7
2026-07-16  22:58:39  32.06   16.1  100.0       0   87    1605    56   1.3146   57.3
2026-07-16  22:58:40  33.68   16.4  100.0       0   97    1605    55   1.3079   50.1
2026-07-16  22:58:41  31.97   14.7  100.0       0   88    1605    55   1.3201   53.7
2026-07-16  22:58:42  37.16   32.3  100.0       0   89    1605    55   1.1886  108.3
2026-07-16  22:58:43  32.06   22.0  100.0       0   89    1605    55   1.4404   88.6
2026-07-16  22:58:44  42.51   21.9  100.0       0   94    1605    55   1.2130   87.3   TEMP
2026-07-16  22:58:45  43.76   34.1  100.0       0   96    1605    55   1.3242   94.3   TEMP
2026-07-16  22:58:46  47.41   16.1  100.0       0  100    1605    55   1.4647   76.4
2026-07-16  22:58:47  46.60    7.7  100.0       0  100    1605    55   1.4296   68.7   TEMP
2026-07-16  22:58:48  45.90    9.4  100.0       0  100    1605    55   1.4315   76.9
2026-07-16  22:58:49  51.26   10.2  100.0       0   98    1605    55   1.4124   68.6
2026-07-16  22:58:50  50.27    8.3  100.0       0   87    1605    54   1.4526   67.3
